date;fly;genotype;starvation;sensillum;group;spikes
May 14;6;w+;fed;L3;w+fed;35
May 14;7;w+;fed;L3;w+fed;51
May 14;1;w+;fed;L5;w+fed;27
May 14;2;w+;fed;L5;w+fed;42
May 14;3;w+;fed;L5;w+fed;58
May 14;4;w+;fed;L5;w+fed;42
May 14;6;w+;fed;L5;w+fed;30
May 14;7;w+;fed;L5;w+fed;50
May 14;1;w+;fed;L7;w+fed;76
May 14;2;w+;fed;L7;w+fed;40
May 14;3;w+;fed;L7;w+fed;40
May 14;4;w+;fed;L7;w+fed;40
May 14;5;w+;fed;L7;w+fed;59
May 14;7;w+;fed;L7;w+fed;47
May 14;1;w+;starved;L3;w+starved;41
May 14;3;w+;starved;L3;w+starved;42
May 14;4;w+;starved;L3;w+starved;40
May 14;5;w+;starved;L3;w+starved;37
May 14;6;w+;starved;L3;w+starved;34
May 14;7;w+;starved;L3;w+starved;36
May 14;8;w+;starved;L3;w+starved;43
May 14;1;w+;starved;L5;w+starved;54
May 14;2;w+;starved;L5;w+starved;54
May 14;3;w+;starved;L5;w+starved;54
May 14;4;w+;starved;L5;w+starved;67
May 14;5;w+;starved;L5;w+starved;42
May 14;6;w+;starved;L5;w+starved;37
May 14;7;w+;starved;L5;w+starved;61
May 14;8;w+;starved;L5;w+starved;27
May 14;1;w+;starved;L7;w+starved;49
May 14;2;w+;starved;L7;w+starved;56
May 14;3;w+;starved;L7;w+starved;48
May 14;4;w+;starved;L7;w+starved;44
May 14;5;w+;starved;L7;w+starved;30
May 14;6;w+;starved;L7;w+starved;49
May 14;7;w+;starved;L7;w+starved;50
May 14;8;w+;starved;L7;w+starved;48
